#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-3199	0.00	hsa-mir-3199-1	0.00	0	0
hsa-miR-3199	0.00	hsa-mir-3199-2	0.00	0	0
hsa-miR-32-5p	12.00	hsa-mir-32	12.00	12.00	391.61
hsa-miR-32-3p	2.00	hsa-mir-32	2.00	2.00	65.27
hsa-miR-3200-5p	0.00	hsa-mir-3200	0.00	0	0
hsa-miR-3200-3p	0.00	hsa-mir-3200	0.00	0	0
hsa-miR-3201	0.00	hsa-mir-3201	0.00	0	0
hsa-miR-3202	0.00	hsa-mir-3202-1	0.00	0	0
hsa-miR-3202	0.00	hsa-mir-3202-2	0.00	0	0
hsa-miR-320a-3p	11.00	hsa-mir-320a	11.00	11.00	358.97
hsa-miR-320a-5p	0.00	hsa-mir-320a	0.00	0	0
hsa-miR-320b	1.00	hsa-mir-320b-1	1.00	1.00	32.63
hsa-miR-320b	1.00	hsa-mir-320b-2	1.00	1.00	32.63
hsa-miR-320c	0.00	hsa-mir-320c-1	0.00	0	0
hsa-miR-320c	0.00	hsa-mir-320c-2	0.00	0	0
hsa-miR-320d	0.00	hsa-mir-320d-1	0.00	0	0
hsa-miR-320d	0.00	hsa-mir-320d-2	0.00	0	0
hsa-miR-320e	0.00	hsa-mir-320e	0.00	0	0
hsa-miR-323a-5p	0.00	hsa-mir-323a	0.00	0	0
hsa-miR-323a-3p	0.00	hsa-mir-323a	0.00	0	0
hsa-miR-323b-5p	0.00	hsa-mir-323b	0.00	0	0
hsa-miR-323b-3p	0.00	hsa-mir-323b	0.00	0	0
hsa-miR-324-3p	1.00	hsa-mir-324	1.00	1.00	32.63
hsa-miR-324-5p	1.00	hsa-mir-324	1.00	1.00	32.63
hsa-miR-325	0.00	hsa-mir-325	0.00	0	0
hsa-miR-326	1.00	hsa-mir-326	1.00	1.00	32.63
hsa-miR-328-3p	0.00	hsa-mir-328	0.00	0	0
hsa-miR-328-5p	0.00	hsa-mir-328	0.00	0	0
hsa-miR-329-5p	0.00	hsa-mir-329-1	0.00	0	0
hsa-miR-329-3p	1.00	hsa-mir-329-1	1.00	1.00	32.63
hsa-miR-329-5p	0.00	hsa-mir-329-2	0.00	0	0
hsa-miR-329-3p	1.00	hsa-mir-329-2	1.00	1.00	32.63
hsa-miR-330-3p	0.00	hsa-mir-330	0.00	0	0
hsa-miR-330-5p	0.00	hsa-mir-330	0.00	0	0
hsa-miR-331-3p	0.00	hsa-mir-331	0.00	0	0
hsa-miR-331-5p	1.00	hsa-mir-331	1.00	1.00	32.63
hsa-miR-335-3p	3.00	hsa-mir-335	3.00	3.00	97.90
hsa-miR-335-5p	0.00	hsa-mir-335	0.00	0	0
hsa-miR-337-5p	0.00	hsa-mir-337	0.00	0	0
hsa-miR-337-3p	0.00	hsa-mir-337	0.00	0	0
hsa-miR-338-5p	0.00	hsa-mir-338	0.00	0	0
hsa-miR-338-3p	1.00	hsa-mir-338	1.00	1.00	32.63
hsa-miR-339-5p	1.00	hsa-mir-339	1.00	1.00	32.63
hsa-miR-339-3p	0.00	hsa-mir-339	0.00	0	0
hsa-miR-33a-5p	0.00	hsa-mir-33a	0.00	0	0
hsa-miR-33a-3p	0.00	hsa-mir-33a	0.00	0	0
hsa-miR-33b-3p	0.00	hsa-mir-33b	0.00	0	0
hsa-miR-33b-5p	0.00	hsa-mir-33b	0.00	0	0
hsa-miR-340-3p	0.00	hsa-mir-340	0.00	0	0
hsa-miR-340-5p	18.00	hsa-mir-340	18.00	18.00	587.41
hsa-miR-342-3p	3.00	hsa-mir-342	3.00	3.00	97.90
hsa-miR-342-5p	0.00	hsa-mir-342	0.00	0	0
hsa-miR-345-5p	1.00	hsa-mir-345	1.00	1.00	32.63
hsa-miR-345-3p	0.00	hsa-mir-345	0.00	0	0
hsa-miR-346	0.00	hsa-mir-346	0.00	0	0
hsa-miR-34a-5p	5.00	hsa-mir-34a	5.00	5.00	163.17
hsa-miR-34a-3p	0.00	hsa-mir-34a	0.00	0	0
hsa-miR-34b-3p	0.00	hsa-mir-34b	0.00	0	0
hsa-miR-34b-5p	0.00	hsa-mir-34b	0.00	0	0
hsa-miR-34c-3p	0.00	hsa-mir-34c	0.00	0	0
hsa-miR-34c-5p	2.00	hsa-mir-34c	2.00	2.00	65.27
hsa-miR-3529-5p	0.00	hsa-mir-3529	0.00	0	0
hsa-miR-3529-3p	0.00	hsa-mir-3529	0.00	0	0
hsa-miR-3605-5p	0.00	hsa-mir-3605	0.00	0	0
hsa-miR-3605-3p	0.00	hsa-mir-3605	0.00	0	0
hsa-miR-3606-3p	0.00	hsa-mir-3606	0.00	0	0
hsa-miR-3606-5p	0.00	hsa-mir-3606	0.00	0	0
hsa-miR-3609	0.00	hsa-mir-3609	0.00	0	0
hsa-miR-361-3p	13.00	hsa-mir-361	13.00	13.00	424.24
hsa-miR-361-5p	4.00	hsa-mir-361	4.00	4.00	130.54
hsa-miR-3610	0.00	hsa-mir-3610	0.00	0	0
hsa-miR-3611	0.00	hsa-mir-3611	0.00	0	0
hsa-miR-3612	0.00	hsa-mir-3612	0.00	0	0
hsa-miR-3613-5p	1.00	hsa-mir-3613	1.00	1.00	32.63
hsa-miR-3613-3p	0.00	hsa-mir-3613	0.00	0	0
hsa-miR-3614-5p	0.00	hsa-mir-3614	0.00	0	0
hsa-miR-3614-3p	0.00	hsa-mir-3614	0.00	0	0
hsa-miR-3615	0.00	hsa-mir-3615	0.00	0	0
hsa-miR-3616-3p	0.00	hsa-mir-3616	0.00	0	0
hsa-miR-3616-5p	0.00	hsa-mir-3616	0.00	0	0
hsa-miR-3617-3p	0.00	hsa-mir-3617	0.00	0	0
hsa-miR-3617-5p	0.00	hsa-mir-3617	0.00	0	0
hsa-miR-3618	0.00	hsa-mir-3618	0.00	0	0
hsa-miR-3619-5p	0.00	hsa-mir-3619	0.00	0	0
hsa-miR-3619-3p	0.00	hsa-mir-3619	0.00	0	0
hsa-miR-362-3p	0.00	hsa-mir-362	0.00	0	0
hsa-miR-362-5p	1.00	hsa-mir-362	1.00	1.00	32.63
hsa-miR-3620-5p	0.00	hsa-mir-3620	0.00	0	0
hsa-miR-3620-3p	0.00	hsa-mir-3620	0.00	0	0
hsa-miR-3621	0.00	hsa-mir-3621	0.00	0	0
hsa-miR-3622a-5p	0.00	hsa-mir-3622a	0.00	0	0
hsa-miR-3622a-3p	0.00	hsa-mir-3622a	0.00	0	0
hsa-miR-3622b-3p	0.00	hsa-mir-3622b	0.00	0	0
hsa-miR-3622b-5p	0.00	hsa-mir-3622b	0.00	0	0
hsa-miR-363-5p	0.00	hsa-mir-363	0.00	0	0
hsa-miR-363-3p	6.00	hsa-mir-363	6.00	6.00	195.80
hsa-miR-3646	0.00	hsa-mir-3646	0.00	0	0
hsa-miR-3648	0.00	hsa-mir-3648-1	0.00	0	0
hsa-miR-3648	0.00	hsa-mir-3648-2	0.00	0	0
hsa-miR-3649	0.00	hsa-mir-3649	0.00	0	0
hsa-miR-3650	0.00	hsa-mir-3650	0.00	0	0
hsa-miR-3651	0.00	hsa-mir-3651	0.00	0	0
hsa-miR-3652	0.00	hsa-mir-3652	0.00	0	0
hsa-miR-3654	0.00	hsa-mir-3654	0.00	0	0
hsa-miR-3655	0.00	hsa-mir-3655	0.00	0	0
hsa-miR-3657	0.00	hsa-mir-3657	0.00	0	0
hsa-miR-3658	0.00	hsa-mir-3658	0.00	0	0
hsa-miR-3659	0.00	hsa-mir-3659	0.00	0	0
hsa-miR-365a-3p	1.00	hsa-mir-365a	1.00	1.00	32.63
hsa-miR-365a-5p	0.00	hsa-mir-365a	0.00	0	0
hsa-miR-365b-3p	1.00	hsa-mir-365b	1.00	1.00	32.63
hsa-miR-365b-5p	0.00	hsa-mir-365b	0.00	0	0
hsa-miR-3660	0.00	hsa-mir-3660	0.00	0	0
hsa-miR-3661	0.00	hsa-mir-3661	0.00	0	0
hsa-miR-3662	0.00	hsa-mir-3662	0.00	0	0
hsa-miR-3663-5p	0.00	hsa-mir-3663	0.00	0	0
hsa-miR-3663-3p	0.00	hsa-mir-3663	0.00	0	0
hsa-miR-3664-3p	0.00	hsa-mir-3664	0.00	0	0
hsa-miR-3664-5p	0.00	hsa-mir-3664	0.00	0	0
hsa-miR-3665	0.00	hsa-mir-3665	0.00	0	0
hsa-miR-3666	0.00	hsa-mir-3666	0.00	0	0
hsa-miR-3667-5p	0.00	hsa-mir-3667	0.00	0	0
hsa-miR-3667-3p	0.00	hsa-mir-3667	0.00	0	0
hsa-miR-3668	0.00	hsa-mir-3668	0.00	0	0
hsa-miR-367-5p	0.00	hsa-mir-367	0.00	0	0
hsa-miR-367-3p	0.00	hsa-mir-367	0.00	0	0
hsa-miR-3670	0.00	hsa-mir-3670-1	0.00	0	0
hsa-miR-3670	0.00	hsa-mir-3670-2	0.00	0	0
hsa-miR-3670	0.00	hsa-mir-3670-3	0.00	0	0
hsa-miR-3670	0.00	hsa-mir-3670-4	0.00	0	0
hsa-miR-3671	0.00	hsa-mir-3671	0.00	0	0
hsa-miR-3672	0.00	hsa-mir-3672	0.00	0	0
hsa-miR-3674	0.00	hsa-mir-3674	0.00	0	0
hsa-miR-3675-3p	0.00	hsa-mir-3675	0.00	0	0
hsa-miR-3675-5p	0.00	hsa-mir-3675	0.00	0	0
hsa-miR-3677-3p	0.00	hsa-mir-3677	0.00	0	0
hsa-miR-3677-5p	0.00	hsa-mir-3677	0.00	0	0
hsa-miR-3678-3p	0.00	hsa-mir-3678	0.00	0	0
hsa-miR-3678-5p	0.00	hsa-mir-3678	0.00	0	0
hsa-miR-3679-5p	0.00	hsa-mir-3679	0.00	0	0
hsa-miR-3679-3p	0.00	hsa-mir-3679	0.00	0	0
hsa-miR-3680-3p	0.00	hsa-mir-3680-1	0.00	0	0
hsa-miR-3680-5p	0.00	hsa-mir-3680-1	0.00	0	0
hsa-miR-3680-3p	0.00	hsa-mir-3680-2	0.00	0	0
hsa-miR-3680-5p	0.00	hsa-mir-3680-2	0.00	0	0
hsa-miR-3681-5p	0.00	hsa-mir-3681	0.00	0	0
hsa-miR-3681-3p	0.00	hsa-mir-3681	0.00	0	0
hsa-miR-3682-5p	0.00	hsa-mir-3682	0.00	0	0
hsa-miR-3682-3p	0.00	hsa-mir-3682	0.00	0	0
hsa-miR-3683	0.00	hsa-mir-3683	0.00	0	0
hsa-miR-3684	0.00	hsa-mir-3684	0.00	0	0
hsa-miR-3685	0.00	hsa-mir-3685	0.00	0	0
hsa-miR-3686	0.00	hsa-mir-3686	0.00	0	0
hsa-miR-3688-5p	0.00	hsa-mir-3688-1	0.00	0	0
hsa-miR-3688-3p	0.00	hsa-mir-3688-1	0.00	0	0
hsa-miR-3688-5p	0.00	hsa-mir-3688-2	0.00	0	0
hsa-miR-3688-3p	0.00	hsa-mir-3688-2	0.00	0	0
hsa-miR-3689a-5p	0.00	hsa-mir-3689a	0.00	0	0
hsa-miR-3689a-3p	0.00	hsa-mir-3689a	0.00	0	0
hsa-miR-3689b-3p	0.00	hsa-mir-3689b	0.00	0	0
hsa-miR-3689b-5p	0.00	hsa-mir-3689b	0.00	0	0
hsa-miR-3689c	0.00	hsa-mir-3689c	0.00	0	0
hsa-miR-3689d	0.00	hsa-mir-3689d-1	0.00	0	0
hsa-miR-3689d	0.00	hsa-mir-3689d-2	0.00	0	0
hsa-miR-3689e	0.00	hsa-mir-3689e	0.00	0	0
hsa-miR-3689f	0.00	hsa-mir-3689f	0.00	0	0
hsa-miR-369-5p	0.00	hsa-mir-369	0.00	0	0
hsa-miR-369-3p	0.00	hsa-mir-369	0.00	0	0
hsa-miR-3690	0.00	hsa-mir-3690-1	0.00	0	0
hsa-miR-3690	0.00	hsa-mir-3690-2	0.00	0	0
hsa-miR-3691-5p	0.00	hsa-mir-3691	0.00	0	0
hsa-miR-3691-3p	0.00	hsa-mir-3691	0.00	0	0
hsa-miR-3692-3p	0.00	hsa-mir-3692	0.00	0	0
hsa-miR-3692-5p	0.00	hsa-mir-3692	0.00	0	0
hsa-miR-370-3p	0.00	hsa-mir-370	0.00	0	0
hsa-miR-370-5p	0.00	hsa-mir-370	0.00	0	0
hsa-miR-3713	0.00	hsa-mir-3713	0.00	0	0
hsa-miR-3714	0.00	hsa-mir-3714	0.00	0	0
hsa-miR-371a-3p	0.00	hsa-mir-371a	0.00	0	0
hsa-miR-371a-5p	0.00	hsa-mir-371a	0.00	0	0
hsa-miR-371b-3p	0.00	hsa-mir-371b	0.00	0	0
hsa-miR-371b-5p	0.00	hsa-mir-371b	0.00	0	0
hsa-miR-372-3p	0.00	hsa-mir-372	0.00	0	0
hsa-miR-372-5p	0.00	hsa-mir-372	0.00	0	0
hsa-miR-373-5p	0.00	hsa-mir-373	0.00	0	0
hsa-miR-373-3p	0.00	hsa-mir-373	0.00	0	0
hsa-miR-374a-3p	9.00	hsa-mir-374a	9.00	9.00	293.70
hsa-miR-374a-5p	12.00	hsa-mir-374a	12.00	12.00	391.61
hsa-miR-374b-3p	0.00	hsa-mir-374b	0.00	0	0
hsa-miR-374b-5p	18.00	hsa-mir-374b	18.00	18.00	587.41
hsa-miR-374c-3p	0.00	hsa-mir-374c	0.00	0	0
hsa-miR-374c-5p	0.00	hsa-mir-374c	0.00	0	0
hsa-miR-375-3p	86.00	hsa-mir-375	86.00	86.00	2806.51
hsa-miR-375-5p	0.00	hsa-mir-375	0.00	0	0
hsa-miR-376a-5p	0.00	hsa-mir-376a-1	0.00	0	0
hsa-miR-376a-3p	0.00	hsa-mir-376a-1	0.00	0	0
hsa-miR-376a-2-5p	0.00	hsa-mir-376a-2	0.00	0	0
hsa-miR-376a-3p	0.00	hsa-mir-376a-2	0.00	0	0
hsa-miR-376b-3p	0.00	hsa-mir-376b	0.00	0	0
hsa-miR-376b-5p	0.00	hsa-mir-376b	0.00	0	0
hsa-miR-376c-3p	0.00	hsa-mir-376c	0.00	0	0
hsa-miR-376c-5p	0.00	hsa-mir-376c	0.00	0	0
hsa-miR-377-5p	0.00	hsa-mir-377	0.00	0	0
hsa-miR-377-3p	0.00	hsa-mir-377	0.00	0	0
hsa-miR-378a-5p	1.00	hsa-mir-378a	1.00	1.00	32.63
hsa-miR-378a-3p	307.00	hsa-mir-378a	307.00	307.00	10018.60
hsa-miR-378b	0.00	hsa-mir-378b	0.00	0	0
hsa-miR-378c	39.00	hsa-mir-378c	39.00	39.00	1272.72
hsa-miR-378d	18.00	hsa-mir-378d-1	18.00	18.00	587.41
hsa-miR-378d	18.00	hsa-mir-378d-2	18.00	18.00	587.41
hsa-miR-378e	0.00	hsa-mir-378e	0.00	0	0
hsa-miR-378f	7.00	hsa-mir-378f	7.00	7.00	228.44
hsa-miR-378g	1.00	hsa-mir-378g	1.00	1.00	32.63
hsa-miR-378h	0.00	hsa-mir-378h	0.00	0	0
hsa-miR-378i	57.00	hsa-mir-378i	57.00	57.00	1860.13
hsa-miR-378j	0.00	hsa-mir-378j	0.00	0	0
hsa-miR-379-5p	2.00	hsa-mir-379	2.00	2.00	65.27
hsa-miR-379-3p	0.00	hsa-mir-379	0.00	0	0
hsa-miR-380-3p	0.00	hsa-mir-380	0.00	0	0
hsa-miR-380-5p	0.00	hsa-mir-380	0.00	0	0
hsa-miR-381-3p	37.00	hsa-mir-381	37.00	37.00	1207.45
hsa-miR-381-5p	0.00	hsa-mir-381	0.00	0	0
hsa-miR-382-3p	0.00	hsa-mir-382	0.00	0	0
hsa-miR-382-5p	0.00	hsa-mir-382	0.00	0	0
hsa-miR-383-3p	0.00	hsa-mir-383	0.00	0	0
hsa-miR-383-5p	0.00	hsa-mir-383	0.00	0	0
hsa-miR-384	0.00	hsa-mir-384	0.00	0	0
hsa-miR-3907	0.00	hsa-mir-3907	0.00	0	0
hsa-miR-3908	0.00	hsa-mir-3908	0.00	0	0
hsa-miR-3909	0.00	hsa-mir-3909	0.00	0	0
hsa-miR-3910	0.00	hsa-mir-3910-1	0.00	0	0
hsa-miR-3910	0.00	hsa-mir-3910-2	0.00	0	0
hsa-miR-3911	0.00	hsa-mir-3911	0.00	0	0
hsa-miR-3912-3p	0.00	hsa-mir-3912	0.00	0	0
hsa-miR-3912-5p	0.00	hsa-mir-3912	0.00	0	0
hsa-miR-3913-5p	0.00	hsa-mir-3913-1	0.00	0	0
hsa-miR-3913-3p	0.00	hsa-mir-3913-1	0.00	0	0
hsa-miR-3913-5p	0.00	hsa-mir-3913-2	0.00	0	0
hsa-miR-3913-3p	0.00	hsa-mir-3913-2	0.00	0	0
hsa-miR-3914	0.00	hsa-mir-3914-1	0.00	0	0
hsa-miR-3914	0.00	hsa-mir-3914-2	0.00	0	0
hsa-miR-3915	0.00	hsa-mir-3915	0.00	0	0
hsa-miR-3916	0.00	hsa-mir-3916	0.00	0	0
hsa-miR-3917	0.00	hsa-mir-3917	0.00	0	0
hsa-miR-3918	0.00	hsa-mir-3918	0.00	0	0
hsa-miR-3919	0.00	hsa-mir-3919	0.00	0	0
hsa-miR-3920	0.00	hsa-mir-3920	0.00	0	0
hsa-miR-3921	0.00	hsa-mir-3921	0.00	0	0
hsa-miR-3922-5p	0.00	hsa-mir-3922	0.00	0	0
hsa-miR-3922-3p	0.00	hsa-mir-3922	0.00	0	0
hsa-miR-3923	0.00	hsa-mir-3923	0.00	0	0
hsa-miR-3924	0.00	hsa-mir-3924	0.00	0	0
hsa-miR-3925-3p	0.00	hsa-mir-3925	0.00	0	0
hsa-miR-3925-5p	0.00	hsa-mir-3925	0.00	0	0
hsa-miR-3926	0.00	hsa-mir-3926-1	0.00	0	0
hsa-miR-3926	0.00	hsa-mir-3926-2	0.00	0	0
hsa-miR-3927-5p	0.00	hsa-mir-3927	0.00	0	0
hsa-miR-3927-3p	0.00	hsa-mir-3927	0.00	0	0
hsa-miR-3928-3p	0.00	hsa-mir-3928	0.00	0	0
hsa-miR-3928-5p	0.00	hsa-mir-3928	0.00	0	0
hsa-miR-3929	0.00	hsa-mir-3929	0.00	0	0
hsa-miR-3934-5p	1.00	hsa-mir-3934	1.00	1.00	32.63
hsa-miR-3934-3p	0.00	hsa-mir-3934	0.00	0	0
hsa-miR-3935	0.00	hsa-mir-3935	0.00	0	0
hsa-miR-3936	0.00	hsa-mir-3936	0.00	0	0
hsa-miR-3937	0.00	hsa-mir-3937	0.00	0	0
hsa-miR-3938	0.00	hsa-mir-3938	0.00	0	0
hsa-miR-3939	0.00	hsa-mir-3939	0.00	0	0
hsa-miR-3940-5p	0.00	hsa-mir-3940	0.00	0	0
hsa-miR-3940-3p	0.00	hsa-mir-3940	0.00	0	0
hsa-miR-3941	0.00	hsa-mir-3941	0.00	0	0
hsa-miR-3942-3p	0.00	hsa-mir-3942	0.00	0	0
hsa-miR-3942-5p	0.00	hsa-mir-3942	0.00	0	0
hsa-miR-3943	0.00	hsa-mir-3943	0.00	0	0
hsa-miR-3944-5p	0.00	hsa-mir-3944	0.00	0	0
hsa-miR-3944-3p	0.00	hsa-mir-3944	0.00	0	0
hsa-miR-3945	0.00	hsa-mir-3945	0.00	0	0
hsa-miR-3960	0.00	hsa-mir-3960	0.00	0	0
hsa-miR-3972	0.00	hsa-mir-3972	0.00	0	0
hsa-miR-3973	0.00	hsa-mir-3973	0.00	0	0
hsa-miR-3974	0.00	hsa-mir-3974	0.00	0	0
hsa-miR-3975	0.00	hsa-mir-3975	0.00	0	0
hsa-miR-3976	0.00	hsa-mir-3976	0.00	0	0
hsa-miR-3977	0.00	hsa-mir-3977	0.00	0	0
hsa-miR-3978	0.00	hsa-mir-3978	0.00	0	0
hsa-miR-409-5p	0.00	hsa-mir-409	0.00	0	0
hsa-miR-409-3p	0.00	hsa-mir-409	0.00	0	0
hsa-miR-410-3p	0.00	hsa-mir-410	0.00	0	0
hsa-miR-410-5p	0.00	hsa-mir-410	0.00	0	0
hsa-miR-411-5p	0.00	hsa-mir-411	0.00	0	0
hsa-miR-411-3p	0.00	hsa-mir-411	0.00	0	0
hsa-miR-412-5p	0.00	hsa-mir-412	0.00	0	0
hsa-miR-412-3p	0.00	hsa-mir-412	0.00	0	0
hsa-miR-421	1.00	hsa-mir-421	1.00	1.00	32.63
hsa-miR-422a	0.00	hsa-mir-422a	0.00	0	0
hsa-miR-423-5p	3.00	hsa-mir-423	3.00	3.00	97.90
hsa-miR-423-3p	16.00	hsa-mir-423	16.00	16.00	522.14
hsa-miR-424-3p	0.00	hsa-mir-424	0.00	0	0
hsa-miR-424-5p	0.00	hsa-mir-424	0.00	0	0
hsa-miR-425-3p	2.00	hsa-mir-425	2.00	2.00	65.27
hsa-miR-425-5p	14.00	hsa-mir-425	14.00	14.00	456.87
hsa-miR-4251	0.00	hsa-mir-4251	0.00	0	0
hsa-miR-4252	0.00	hsa-mir-4252	0.00	0	0
hsa-miR-4253	0.00	hsa-mir-4253	0.00	0	0
hsa-miR-4254	0.00	hsa-mir-4254	0.00	0	0
hsa-miR-4255	0.00	hsa-mir-4255	0.00	0	0
hsa-miR-4256	0.00	hsa-mir-4256	0.00	0	0
hsa-miR-4257	0.00	hsa-mir-4257	0.00	0	0
hsa-miR-4258	0.00	hsa-mir-4258	0.00	0	0
hsa-miR-4259	0.00	hsa-mir-4259	0.00	0	0
hsa-miR-4260	0.00	hsa-mir-4260	0.00	0	0
hsa-miR-4261	0.00	hsa-mir-4261	0.00	0	0
hsa-miR-4262	0.00	hsa-mir-4262	0.00	0	0
hsa-miR-4263	0.00	hsa-mir-4263	0.00	0	0
hsa-miR-4264	0.00	hsa-mir-4264	0.00	0	0
hsa-miR-4265	0.00	hsa-mir-4265	0.00	0	0
hsa-miR-4266	0.00	hsa-mir-4266	0.00	0	0
hsa-miR-4267	0.00	hsa-mir-4267	0.00	0	0
hsa-miR-4268	0.00	hsa-mir-4268	0.00	0	0
hsa-miR-4269	0.00	hsa-mir-4269	0.00	0	0
hsa-miR-4270	0.00	hsa-mir-4270	0.00	0	0
hsa-miR-4271	0.00	hsa-mir-4271	0.00	0	0
hsa-miR-4272	0.00	hsa-mir-4272	0.00	0	0
hsa-miR-4273	0.00	hsa-mir-4273	0.00	0	0
hsa-miR-4274	0.00	hsa-mir-4274	0.00	0	0
hsa-miR-4275	0.00	hsa-mir-4275	0.00	0	0
hsa-miR-4276	0.00	hsa-mir-4276	0.00	0	0
hsa-miR-4277	0.00	hsa-mir-4277	0.00	0	0
hsa-miR-4278	0.00	hsa-mir-4278	0.00	0	0
hsa-miR-4279	0.00	hsa-mir-4279	0.00	0	0
hsa-miR-4280	0.00	hsa-mir-4280	0.00	0	0
hsa-miR-4281	0.00	hsa-mir-4281	0.00	0	0
hsa-miR-4282	0.00	hsa-mir-4282	0.00	0	0
hsa-miR-4283	0.00	hsa-mir-4283-1	0.00	0	0
hsa-miR-4283	0.00	hsa-mir-4283-2	0.00	0	0
hsa-miR-4284	0.00	hsa-mir-4284	0.00	0	0
hsa-miR-4285	0.00	hsa-mir-4285	0.00	0	0
hsa-miR-4286	0.00	hsa-mir-4286	0.00	0	0
hsa-miR-4287	0.00	hsa-mir-4287	0.00	0	0
hsa-miR-4288	0.00	hsa-mir-4288	0.00	0	0
hsa-miR-4289	0.00	hsa-mir-4289	0.00	0	0
hsa-miR-429	43.00	hsa-mir-429	43.00	43.00	1403.26
hsa-miR-4290	0.00	hsa-mir-4290	0.00	0	0
hsa-miR-4291	0.00	hsa-mir-4291	0.00	0	0
hsa-miR-4292	0.00	hsa-mir-4292	0.00	0	0
hsa-miR-4293	0.00	hsa-mir-4293	0.00	0	0
hsa-miR-4294	0.00	hsa-mir-4294	0.00	0	0
hsa-miR-4295	0.00	hsa-mir-4295	0.00	0	0
hsa-miR-4296	0.00	hsa-mir-4296	0.00	0	0
hsa-miR-4297	0.00	hsa-mir-4297	0.00	0	0
hsa-miR-4298	0.00	hsa-mir-4298	0.00	0	0
hsa-miR-4299	0.00	hsa-mir-4299	0.00	0	0
hsa-miR-4300	0.00	hsa-mir-4300	0.00	0	0
hsa-miR-4301	0.00	hsa-mir-4301	0.00	0	0
hsa-miR-4302	0.00	hsa-mir-4302	0.00	0	0
hsa-miR-4303	0.00	hsa-mir-4303	0.00	0	0
hsa-miR-4304	0.00	hsa-mir-4304	0.00	0	0
hsa-miR-4305	0.00	hsa-mir-4305	0.00	0	0
hsa-miR-4306	0.00	hsa-mir-4306	0.00	0	0
hsa-miR-4307	0.00	hsa-mir-4307	0.00	0	0
hsa-miR-4308	0.00	hsa-mir-4308	0.00	0	0
hsa-miR-4309	0.00	hsa-mir-4309	0.00	0	0
hsa-miR-431-3p	0.00	hsa-mir-431	0.00	0	0
hsa-miR-431-5p	0.00	hsa-mir-431	0.00	0	0
hsa-miR-4310	0.00	hsa-mir-4310	0.00	0	0
hsa-miR-4311	0.00	hsa-mir-4311	0.00	0	0
hsa-miR-4312	0.00	hsa-mir-4312	0.00	0	0
hsa-miR-4313	0.00	hsa-mir-4313	0.00	0	0
hsa-miR-4314	0.00	hsa-mir-4314	0.00	0	0
hsa-miR-4315	0.00	hsa-mir-4315-1	0.00	0	0
hsa-miR-4315	0.00	hsa-mir-4315-2	0.00	0	0
hsa-miR-4316	0.00	hsa-mir-4316	0.00	0	0
hsa-miR-4317	0.00	hsa-mir-4317	0.00	0	0
hsa-miR-4318	0.00	hsa-mir-4318	0.00	0	0
hsa-miR-4319	0.00	hsa-mir-4319	0.00	0	0
hsa-miR-432-3p	0.00	hsa-mir-432	0.00	0	0
hsa-miR-432-5p	0.00	hsa-mir-432	0.00	0	0
hsa-miR-4320	0.00	hsa-mir-4320	0.00	0	0
hsa-miR-4321	0.00	hsa-mir-4321	0.00	0	0
hsa-miR-4322	0.00	hsa-mir-4322	0.00	0	0
hsa-miR-4323	0.00	hsa-mir-4323	0.00	0	0
hsa-miR-4324	0.00	hsa-mir-4324	0.00	0	0
hsa-miR-4325	0.00	hsa-mir-4325	0.00	0	0
hsa-miR-4326	1.00	hsa-mir-4326	1.00	1.00	32.63
hsa-miR-4327	0.00	hsa-mir-4327	0.00	0	0
hsa-miR-4328	0.00	hsa-mir-4328	0.00	0	0
hsa-miR-4329	0.00	hsa-mir-4329	0.00	0	0
hsa-miR-433-3p	0.00	hsa-mir-433	0.00	0	0
hsa-miR-433-5p	0.00	hsa-mir-433	0.00	0	0
hsa-miR-4330	0.00	hsa-mir-4330	0.00	0	0
hsa-miR-4418	0.00	hsa-mir-4418	0.00	0	0
hsa-miR-4420	0.00	hsa-mir-4420	0.00	0	0
hsa-miR-4421	0.00	hsa-mir-4421	0.00	0	0
hsa-miR-4422	0.00	hsa-mir-4422	0.00	0	0
hsa-miR-4423-5p	0.00	hsa-mir-4423	0.00	0	0
hsa-miR-4423-3p	0.00	hsa-mir-4423	0.00	0	0
hsa-miR-4424	0.00	hsa-mir-4424	0.00	0	0
hsa-miR-4425	0.00	hsa-mir-4425	0.00	0	0
hsa-miR-4426	0.00	hsa-mir-4426	0.00	0	0
hsa-miR-4427	0.00	hsa-mir-4427	0.00	0	0
hsa-miR-4428	0.00	hsa-mir-4428	0.00	0	0
hsa-miR-4429	0.00	hsa-mir-4429	0.00	0	0
hsa-miR-4430	0.00	hsa-mir-4430	0.00	0	0
hsa-miR-4431	0.00	hsa-mir-4431	0.00	0	0
hsa-miR-4432	0.00	hsa-mir-4432	0.00	0	0
hsa-miR-4433a-5p	0.00	hsa-mir-4433a	0.00	0	0
hsa-miR-4433a-3p	0.00	hsa-mir-4433a	0.00	0	0
hsa-miR-4433b-5p	0.00	hsa-mir-4433b	0.00	0	0
hsa-miR-4433b-3p	0.00	hsa-mir-4433b	0.00	0	0
hsa-miR-4434	0.00	hsa-mir-4434	0.00	0	0
hsa-miR-4435	0.00	hsa-mir-4435-1	0.00	0	0
hsa-miR-4435	0.00	hsa-mir-4435-2	0.00	0	0
